#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE> Electron Proton Alpha Monitor
#     PROJECT                         ACE>Advanced Composition Explorer
#                                     ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       H3>12-second Level 2 data
#     DESCRIPTOR                      EPAM>ACE Electron Proton Alpha Monitor
#     DATA_VERSION                    1
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 2018101
#     LINK_TEXT                       Release notes and other info available at
#     LINK_TITLE                      the ACE Science Center Level 2 Data website
#     HTTP_LINK                       https://izw1.caltech.edu/ACE/ASC/level2/index.html
#     TEXT                            The Electron, Proton, and Alpha Monitor (EPAM) is composed of five
#                                     telescope apertures of three different types.  Two Low Energy
#                                     Foil Spectrometers (LEFS) measure the flux and direction of electrons
#                                     above 30 keV (geometry factor = 0.397 cm2*sr), two Low Energy Magnetic
#                                     Spectrometers (LEMS) measure the flux  and direction of ions greater than 50 keV
#                                     (geometry factor = 0.48 cm2*sr), and the Composition Aperture (CA)
#                                     measures the elemental composition of the ions (geometry factor = 0.24
#                                     cm2*sr). The telescopes use the spin of the spacecraft to sweep the full
#                                     sky. Solid-state detectors are used to measure the energy and composition
#                                     of the incoming particles.
#                                     For more information about the EPAM instrument, visit the EPAM Home Page
#                                     at JHU/APL: http://sd-www.jhuapl.edu/ACE/EPAM/
#                                     The quality of ACE level 2 data is such that it is suitable for serious
#                                     scientific study.  However, to avoid confusion and misunderstanding, it
#                                     is recommended that users consult with the appropriate ACE team members
#                                     before publishing work derived from the data. The ACE team has worked
#                                     hard to ensure that the level 2 data are free from errors, but the team
#                                     cannot accept responsibility for erroneous data, or for misunderstandings
#                                     about how the data may be used. This is especially true if the appropriate
#                                     ACE team members are not consulted before publication. At the very
#                                     least, preprints should be forwarded to the ACE team before publication.
#     MODS                            Initial Public Release 01/28/03 (Version 3)
#                                     11/11/04: Improved metadata (Version 4)
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 AC_H3_EPA_20180719_V01
#     LOGICAL_SOURCE                  AC_H3_EPM
#     LOGICAL_SOURCE_DESCRIPTION      ACE/EPAM Solar Energetic Particle 12-second Level 2 Data
#     PI_NAME                         R. Gold
#     PI_AFFILIATION                  JHU/APL
#     MISSION_GROUP                   ACE
#     INSTRUMENT_TYPE                 Particles (space)
#     TIME_RESOLUTION                 12 second
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, Dr. Robert Gold of JHU/APL
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/ASC/level2/policy_lvl2.html
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ACE/EPAM/L2/PT12S
#     DOI                             https://doi.org/10.48322/jqj0-vn49
#     CDAWEB_PARENTS                  ac_h3_epm_00000000_v01
#                                     ac_h3_epm_19980825_v01, ac_h3_epm_19980826_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, beginning of interval
#  2. P2 LEMS30, (0.067-0.115 MeV Ions), Sector Avg
#  3. P3 LEMS30, (0.115-0.193 MeV Ions), Sector Avg
#  4. P4 LEMS30, (0.193-0.315 MeV Ions), Sector Avg
#  5. P5 LEMS30, (0.315-0.580 MeV Ions), Sector Avg
#  6. P6 LEMS30, (0.580-1.06 MeV Ions), Sector Avg
#  7. P7 LEMS30, (1.06-1.88 MeV Ions), Sector Avg
#  8. P8 LEMS30, (1.88-4.70 MeV Ions), Sector Avg
#
EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,P2_.067-.115MEV_IONS_1/(cm**2-s-sr-MeV),P3_.115-.193MEV_IONS_1/(cm**2-s-sr-MeV),P4_.193-.315MEV_IONS_1/(cm**2-s-sr-MeV),P5_.315-.580MEV_IONS_1/(cm**2-s-sr-MeV),P6_.580-1.06MEV_IONS_1/(cm**2-s-sr-MeV),P7_1.06-1.88MEV_IONS_1/(cm**2-s-sr-MeV),P8_1.88-4.70MEV_IONS_1/(cm**2-s-sr-MeV)
1998-08-25T21:00:59.000Z,4000.70,4924.50,4366.50,3833.50,2580.80,1299.30,351.460
1998-08-25T21:01:11.000Z,4064.90,5161.20,4366.50,3833.50,2580.80,1299.30,351.460
1998-08-25T21:01:23.000Z,3871.70,4684.90,4062.00,3646.60,2529.20,1329.50,351.460
1998-08-25T21:01:35.000Z,3678.00,4448.20,4062.00,3646.60,2529.20,1329.50,351.460
1998-08-25T21:01:47.000Z,3742.70,4607.00,4468.00,3646.60,2632.90,1389.90,360.240
1998-08-25T21:01:59.000Z,3935.90,4765.80,4366.50,3646.60,2632.90,1389.90,360.240
1998-08-25T21:02:11.000Z,3742.70,4765.80,4163.50,3740.10,2684.50,1389.90,351.460
1998-08-25T21:02:23.000Z,3807.00,5002.40,4366.50,3740.10,2684.50,1389.90,351.460
1998-08-25T21:02:36.000Z,4194.40,4843.60,4468.00,4113.90,2736.10,1359.70,351.460
1998-08-25T21:02:48.000Z,3935.90,5002.40,4569.50,4113.90,2736.10,1359.70,351.460
1998-08-25T21:03:00.000Z,4064.90,5083.30,4772.50,4113.90,2890.90,1420.10,360.240
1998-08-25T21:03:12.000Z,4387.70,5161.20,4874.00,4113.90,2890.90,1420.10,360.240
1998-08-25T21:03:24.000Z,-999.900,-999.900,-999.900,-999.900,-999.900,-999.900,-999.900
1998-08-25T21:03:36.000Z,4064.90,5319.90,4874.00,4487.70,2942.00,1420.10,351.460
1998-08-25T21:03:48.000Z,3807.00,5400.80,5077.00,4487.70,2942.00,1420.10,351.460
1998-08-25T21:04:00.000Z,4064.90,5478.70,5178.50,4487.70,2942.00,1450.30,360.240
1998-08-25T21:04:12.000Z,4258.70,5319.90,5077.00,4487.70,2942.00,1450.30,360.240
1998-08-25T21:04:24.000Z,4591.60,5493.60,5088.50,4680.00,3100.20,1451.70,360.660
1998-08-25T21:04:36.000Z,4064.90,5400.80,5483.00,4680.00,3100.20,1451.70,360.660
1998-08-25T21:04:48.000Z,4322.90,5319.90,5584.50,4768.10,3045.70,1420.10,369.030
1998-08-25T21:05:00.000Z,4580.90,5637.40,5584.50,4768.10,3045.70,1420.10,369.030
1998-08-25T21:05:12.000Z,4258.70,5637.40,5381.50,4674.70,3097.30,1480.50,360.240
1998-08-25T21:05:25.000Z,4193.90,5877.10,5280.00,4674.70,3097.30,1480.50,360.240
1998-08-25T21:05:37.000Z,4323.40,6035.80,5686.00,4865.10,3098.70,1451.20,378.060
1998-08-25T21:05:49.000Z,4457.30,6041.80,5693.70,4865.10,3098.70,1451.20,378.060
1998-08-25T21:06:01.000Z,4775.10,5877.10,5483.00,4769.00,3045.70,1480.50,377.810
1998-08-25T21:06:13.000Z,4775.10,5877.10,5483.00,4769.00,3045.70,1480.50,377.810
1998-08-25T21:06:25.000Z,4581.40,6194.60,5584.50,4862.50,3097.30,1450.30,369.030
1998-08-25T21:06:37.000Z,4581.40,5877.10,5381.50,4862.50,3097.30,1450.30,369.030
1998-08-25T21:06:49.000Z,4387.70,5877.10,5584.50,4769.00,3148.90,1480.50,369.030
1998-08-25T21:07:01.000Z,4387.70,6035.80,5483.00,4769.00,3148.90,1480.50,369.030
1998-08-25T21:07:13.000Z,4323.40,5877.10,5686.00,4862.50,3045.70,1450.30,369.030
1998-08-25T21:07:25.000Z,4516.60,6194.60,5686.00,4862.50,3045.70,1450.30,369.030
1998-08-25T21:07:37.000Z,-999.900,-999.900,-999.900,-999.900,-999.900,-999.900,-999.900
1998-08-25T21:07:49.000Z,4516.60,6035.80,5483.00,4861.60,3148.90,1510.70,369.030
1998-08-25T21:08:01.000Z,4645.60,5718.30,5584.50,4861.60,3148.90,1510.70,369.030
1998-08-25T21:08:14.000Z,4322.90,5954.90,5483.00,4674.70,3148.90,1420.10,360.240
1998-08-25T21:08:26.000Z,4387.70,6194.60,5381.50,4674.70,3148.90,1420.10,360.240
1998-08-25T21:08:38.000Z,4774.60,5877.10,5381.50,4768.10,3097.30,1420.10,369.030
1998-08-25T21:08:50.000Z,4516.60,5877.10,5483.00,4768.10,3097.30,1420.10,369.030
1998-08-25T21:09:02.000Z,4710.40,6194.60,5483.00,4861.60,3045.70,1450.30,369.030
1998-08-25T21:09:14.000Z,4901.70,5877.10,5584.50,4861.60,3045.70,1450.30,369.030
